Section,Subsection,Subsubsection,Topic,Paragraph
,,,,"70. For the purpose of calculating the one-year default rate defined in point (78) of Article 4(1) of Regulation (EU) No 575/2013, institutions should ensure the completeness of the quantitative and qualitative data and other information in relation to the denominator and numerator as outlined in paragraphs 73 and 74 and used for the calculation of the observed average default rate. In particular, institutions should ensure that at least the following data for the relevant observation period referred to in paragraphs 82 to 83 is properly stored and available: (a) the criteria for identifying the relevant type of exposures covered by the PD model under consideration; (b) the criteria for identifying the calibration segments; (c) the risk drivers used for risk differentiation; where a newly relevant risk driver has been included in the model for which no historical data is available institutions should, make efforts to minimise missing data on risk drivers over time as outlined in paragraph 51(a), and apply an appropriate adjustment and a MoC in accordance with section 4.4; (d) all identification numbers of obligors and exposures relevant for default rate calculation, taking into account situations where the identification number has changed over time, including changes due to restructuring of exposures."
,,,,"71. Exclusion of observations from the one-year default rate calculation should be undertaken only in the following two situations: (a) obligors wrongly included in the data set of defaults, as they did not default in the meaning of the definition of default pursuant to Article 178 of Regulation (EU) No 575/2013 as further specified in the Guidelines on the application of the definition of default of an obligor under that Article should not be included in the numerator of the one-year default rate; (b) obligors wrongly assigned to the considered rating model, despite not falling in the range of application of that rating model, should be excluded from both the numerator and the denominator of the one-year default rate."
,,,,"72. Institutions should document all data cleansing in accordance with Article 32(3)(b) of the RTS on IRB assessment methodology, with respect to the one-year default rate calculation and in particular: (a) for non-retail PD models, a list of all observations within the dataset that were excluded according to paragraph 71, with a case-by-case justification; (b) for retail PD models, information on the reasons and quantity of exclusions of observations made in accordance with paragraph 71."
,,5.3.2 Calculation of one-year default rates,,
,,,,"73. For the purpose of calculating the one-year default rate referred to in point (78) of Article 4(1) of Regulation (EU) No 575/2013, institutions should ensure both of the following: (a) that the denominator consists of the number of non-defaulted obligors with any credit obligation observed at the beginning of the one-year observation period; in this context a credit obligation refers to both of the following: (i) any on balance sheet item, including any amount of principal, interest and fees; (ii) any off-balance sheet items, including guarantees issued by the institution as a guarantor. (b) that the numerator includes all those obligors considered in the denominator that had at least one default event during the one-year observation period."
,,,,"74. When assigning the obligors or exposures to grades or pools for the purpose of the one-year default rate calculation, institutions should take overrides into account, but they should not reflect in this assignment any substitution effects due to credit risk mitigation, nor any ex post conservative adjustments introduced in accordance with section 8.1. Where the one-year default rate is calculated by rating grade or pool, the denominator should refer to all obligors assigned to a rating grade or pool at the beginning of the observation period. Where the one year default rate is calculated at the portfolio level, the denominator should refer to all obligors assigned to the relevant calibration segment at the beginning of the observation period."
,,,,"75. Institutions should calculate the one-year default rate also for the subset of obligors with any credit obligation that did not have a rating at the start of the relevant observation period, but which were within the range of application of the model under consideration ('missing ratings'), even if these obligors were assigned to a rating grade or pool in a conservative manner for the purpose of calculation of own funds requirements. Obligors whose ratings are based on missing or partly missing information or where the rating is outdated but still deemed valid by the institution should not be considered as missing ratings."
,,,,"76. For the purposes of paragraphs 73 to 75 an obligor has to be included in the denominator and, where relevant, numerator, also in the case of a migration to a different rating grade, pool or rating model, rating system or approach to calculation of capital requirements within the observation period or where the corresponding credit obligations were sold, written off,  repaid or otherwise closed during the observation period. Institutions should analyse whether such migrations or sales of credit obligations bias the default rate and, if so, they should reflect this in an appropriate adjustment and consider an adequate MoC."
,,,,"77. In any case institutions should ensure that each defaulted obligor is counted only once in the numerator and denominator of the one-year default rate calculation, even where the obligor defaulted more than once during the relevant one-year period."
,,,,"78. In order to choose an appropriate calculation approach as required by paragraph 80, institutions should evaluate the observed one year default rates within the historical observation period at least quarterly."
,,5.3.3 Calculation of the observed average default rate,,
,,,,79. The observed average of one-year default rates ('observed average default rate') should be calculated for each rating grade or pool and additionally for the type of exposures covered by the relevant PD model as well as for any relevant calibration segment.
,,,,"80. Institutions should choose an appropriate approach between an approach based on overlapping and an approach based on non-overlapping one-year time windows, to calculate the observed average default rate based on a documented analysis. This analysis should include at least the following: (a) an analysis of possible bias due to the proportion of short-term and terminated contracts that cannot be observed during the relevant one-year periods; (b) an analysis of possible bias due to the specific calculation dates chosen; (c) for institutions using overlapping one-year time windows, an analysis of potentially significant bias due to implicit over-weighting of the overlapping time period; (d) an analysis of potentially significant bias due to seasonal effect related to the chosen calculation dates."
,,,,81. For the purposes of paragraphs 79 and 80 institutions should calculate the observed average default rates as the arithmetic average of all one year default rates calculated in accordance with paragraphs 73 to 76. In the case of PD models for retail exposure class institutions may calculate the observed average default rate as a weighted average of one-year default rates where an institution does not give equal importance to historic data because more recent data is a better predictor of losses in accordance with Article 180(2)(e) of Regulation (EU) No 575/2013.
,,5.3.4 Long-run average default rate,,
,,,,"82. For the purpose of determining the historical observation period referred to in Articles 180(1)(h) and 180(2)(e) of Regulation (EU) No 575/2013, additional observations to the most recent 5 years, at the time of model calibration, should be considered relevant when these  observations are required in order for the historical observation period to reflect the likely range of variability of default rates of that type of exposures as referred to in Article 49(3) of the RTS on IRB assessment methodology."
,,,,"83. For the purpose of assessing the representativeness of the historical observation period referred to in paragraph 82 for the likely range of variability of one-year-default rates, institutions should assess whether the historical observation period contains a representative mix of good and bad years, and they should take into account all of the following: (a) the variability of all observed one-year-default rates; (b) the existence, lack or prevalence of one-year default rates relating to bad years as reflected by economic indicators that are relevant for the considered type of exposures within the historical observation period; (c) significant changes in the economic, legal or business environment within the historical observation period."
,,,,"84. Where the historical observation period referred to in paragraph 82 is representative of the likely range of variability of the default rates, the long-run average default rate should be computed as the observed average of the one-year default rates in that period."
,,,,"85. Where the historical observation period referred to in paragraph 82 is not representative of the likely range of variability of default rates as referred to in Article 49(4) of the RTS on IRB assessment methodology, institutions should apply the following: (a) where no or insufficient bad years are included in the historical observation period the average of observed one year default rates should be adjusted in order to estimate a long-run average default rate; (b) where bad years are over-represented in the historical observation period, the average of observed one-year default rates may be adjusted to estimate a long-run average default rate where there is a significant correlation between economic indicators referred to in paragraph 83(b) and the available one-year default rates. Institutions should ensure that, as a result of the adjustments referred to in points (a) and (b), the adjusted long-run average default rate reflects the likely range of variability of default rates."
,,,,"86. In the exceptional case where the long-run average default rate is below the average of all observed one-year default rates due to any adjustment made in accordance with paragraph 85, institutions should compare their adjusted long-run average default rates with the higher of the following: (a) the observed average of the one-year default rates of the most recent 5 years; (b) the observed average of all available one-year default rates. Institutions should justify the direction and magnitude of the adjustment, including the adequacy of the considered MoC, in line with the requirement in Article 49(4)(b) of the RTS on IRB assessment methodology and section 4.4. In addition, where the adjusted long-run average default rate is lower than the higher of the two values referred to in points (a) and (b), they should specifically justify why these two values are not appropriate."
,,5.3.5 Calibration to the long-run average default rate,,
,,,,"87. Institutions should have sound and well-defined processes in place which ensure sound calibration by including all of the following in their calibration process: (a) quantitative calibration tests by rating grade or pool; (b) quantitative calibration tests on calibration segment level; (c) supplementary qualitative analyses such as expert judgements on the shape of the resulting obligor distribution, minimum obligor numbers per grade and avoidance of undue concentration in certain grades or pools."
,,,,"88. Institutions should store and describe in the documentation of the PD model the calibration sample associated with each calibration segment. In order to ensure compliance with Article 180(1)(a) or 180(2)(a) of Regulation (EU) No 575/2013, institutions should find an appropriate balance between the comparability of the calibration sample with the application portfolio in terms of obligor and transaction characteristics and its representativeness of the likely range of variability of default rates as referred to in section 5.3.4."
,,,,"89. Institutions should conduct the calibration after taking into account any overrides applied in the assignment of obligors to grades or pools, and before the application of MoC or floors to PD estimates as referred to in Articles 160(1) and 163(1) of Regulation (EU) No 575/2013. Where a ranking method or overrides policy has changed over time, institutions should analyse the effects of these changes on the frequency and scope of overrides and take them into account appropriately."
,,,,"90. The process of grouping ranked obligors or exposures to grades or pools, in particular where institutions conduct this grouping by identification of intervals of score values reflecting a predefined PD level assigned to a grade of a master scale, may be performed during the calibration."
,,,,"91. Taking into account the availability of data, the structure of the model and portfolio as well as the business requirements, institutions should choose an appropriate method to perform the calibration in accordance with the following principles: (a) institutions may choose one of the following types of calibration: (i) a calibration in accordance with Article 180(1)(a) or 180(2)(a) of Regulation (EU) No 575/2013; (ii) a calibration in accordance with Article 169(3) of Regulation (EU) No 575/2013 in combination with Article 180(1)(a) or 180(2)(a) of that Regulation if a continuous rating scale is used; (b) for exposures to corporates, institutions, central governments and central banks and for equity exposures where an institution uses the PD/LGD approach set out in Article 155(3) of Regulation (EU) No 575/2013, institutions may choose one of the following types of calibration: (i) a calibration based on a mapping to the rating scale used by an external credit assessment institution (ECAI) or similar organisation in accordance with Article 180(1)(f) of Regulation (EU) No 575/2013; (ii) for a statistical default prediction model, in accordance with Section 4 of the RTS on IRB assessment methodology, where the PDs are estimated as simple averages of default probability estimates for individual obligors in a given grade or pool in accordance with Article 180(1)(g) of Regulation (EU) No 575/2013, a calibration at the level of appropriate calibration segments of the relevant default probability estimates; (c) for retail exposures institutions may choose a calibration based on total losses and LGDs in accordance with Articles 180(2)(b) and 180(2)(d) of Regulation (EU) No 575/2013; (d) for corporate purchased receivables institutions may choose a calibration based on expected losses and LGDs in accordance with Articles 180(1)(b) and 180(1)(c) of Regulation (EU) No 575/2013."
,,,,"92. For the purpose of determining the PD estimates referred to in paragraph 91, the calibration should consider either: (a) the long-run average default rate at the level of grade or pool, in which case institutions should provide additional calibration tests at the level of the relevant calibration segment; or (b) the long-run average default rate at the level of the calibration segment, in which case institutions should provide additional calibration tests at the level of the relevant grades or pools or, where they use direct PD estimates in accordance with Article 169(3) of Regulation (EU) No 575/2013, at a level that is appropriate for the application of the probability model."
,,,,"93. Irrespective of which of the approaches mentioned in paragraph 92 institutions choose, they should assess the potential effect of the chosen calibration method on the behaviour of PD estimates over time."
,,,,"94. For the purpose of determining PD estimates based on a mapping to an external rating scale as referred to in paragraph 91(b)((i)), institutions should base the default rates observed for the external organisation's grades on a time series representative of the likely range of variability of default rates for the grades and pools of the given portfolio."
,,,,95. Where institutions derive PD estimates from the estimates of losses and LGDs in accordance with Articles 161(2) and 180(2)(b) of Regulation (EU) No 575/2013 they should use a RDS that includes realised losses on all defaults identified during the historical observation period specified in accordance with section 6.3.2.1 and relevant drivers of loss.
,,,,"96. In order to use direct PD estimates for the calculation of own funds requirements in accordance with Article 169(3) of Regulation (EU) No 575/2013, institutions should demonstrate that the theoretical assumptions of the probability model underlying the estimation methodology are met to a sufficient extent in practice and that the long-run average default rate is retained. In particular, all data and representativeness requirements should be met, including those in Article 174(c) of Regulation (EU) No 575/2013, and the definition of default should be applied in accordance with Article 178 of Regulation (EU) No 575/2013. Under no circumstances should the use of continuous PDs or any smoothening of default rates be adopted in order to overcome the lack of data, low discriminatory capacity or any other deficiencies in the rating assignment or PD estimation process, or to reduce the own funds requirements."
,,,,97. Institutions may split exposures covered by the same PD model into as many different calibration segments as needed where one or more subsets of these exposures carry a significantly different level of risk. For this purpose institutions should use relevant segmentation drivers and they should justify and document the use and scope of the calibration segments.
,,,,"98. Where scoring methods are used, institutions should ensure that: (a) where there is a change in the scoring method used, the institutions consider whether it is necessary to recalculate scores of obligors or exposures based on the original dataset instead of using scores that were calculated based on previous versions of the scoring method, and, where such recalculation is not possible, that institutions assess potential effects and take those effects into account via an appropriate increase of the MoC to their PD estimates; (b) where Article 180(1)(g) of Regulation (EU) No 575/2013 applies, the PD estimates which were derived as a simple average of individual PD estimates are adequate for relevant grades, by applying calibration tests to these estimates at a grade level, on the basis of one-year default rates representative of the likely range of variability of default rates."
,,,,99. The calibration should not influence the rank ordering of obligors or exposures within a calibration segment other than within each grade or pool.
6 LGD estimation,,,,
,6.1 General requirements specific to LGD estimation,,,
,,6.1.1 LGD estimation methodologies,,
,,,,"100. Institutions that have obtained permission to use own estimates of LGD in accordance with Article 143(2) of Regulation (EU) No 575/2013 should assign an LGD estimate to each non-defaulted exposure and an estimate of LGD in-default and ELBE to each defaulted exposure within the range of application of the rating system subject to such permission in accordance with Articles 172 and 173 of Regulation (EU) No 575/2013. Institutions should estimate LGDs for all facility grades of the distinct facility rating scale or for all pools that are incorporated in the rating system. For the purpose of LGD estimation institutions should treat each defaulted facility as a distinct default observation, unless more than one independent defaults were recognised on a single facility which do not meet the conditions of paragraph 101."
,,,,"101. For the purpose of LGD estimation, with regard to defaults recognised on a single facility, where the time between the moment of the return of the exposure to non-defaulted status and the subsequent classification as default is shorter than nine months, institutions should treat such exposure as having been constantly defaulted from the first moment when the default occurred. Institutions may specify a period longer than nine months for the purpose of considering two subsequent defaults as a single default in the LGD estimation, if this is adequate to the specific type of exposures and reflects the economic meaning of the default experience."
,,,,"102. Institutions should estimate their own LGDs based on their own loss and recovery experience, as it is reflected in historical data on defaulted exposures. Institutions may supplement their own historical data on defaulted exposures with external data. In particular, institutions should not derive their LGD estimates only from the market prices of financial instruments, including, but not limited to, marketable loans, bonds or credit default instruments, but they may use this information to supplement their own historical data."
,,,,"103. Where in the case of retail exposures and purchased corporate receivables institutions derive LGD estimates from realised losses and appropriate estimates of PDs in accordance with Articles 161(2) and 181(2)(a) of Regulation (EU) No 575/2013 they should ensure that: (a) the process for estimating total losses meets the requirements of Article 179 of Regulation (EU) No 575/2013 and the outcome is consistent with the concept of LGD as set out in Article 181(1)(a) of this Regulation, as well as with the requirements specified in Chapter 6, in particular with the concept of economic loss as specified in section 6.3.1; (b) the process for estimating PD meets the requirements of Articles 179 and 180 of Regulation (EU) No 575/2013 as well as the requirements specified in Chapter 5."
,,,,"104. An LGD model can contain several different methods, especially with respect to different types of collateral, which are combined to arrive at an LGD for a given facility."
,,,,105. Institutions should be able to demonstrate that the methods that they choose for the purpose of LGD estimation are appropriate to their activities and the type of exposures to which the estimates apply and they should be able to justify the theoretical assumptions underlying those methods. The methods used in the LGD estimation should in particular be consistent with the collection and recovery policies adopted by the institution and should take into account possible recovery scenarios as well as potential differences in the legal environment in relevant jurisdictions.
,,,,"106. The methods used by the institution in the LGD estimation, the assumptions underlying these methods, the institution's consideration of any downturn effect, the length of data series used, the MoC, the human judgement and, where applicable, the choice of risk drivers, should be adequate to the type of exposures to which they are applied."
,,6.1.2 Data requirements for LGD estimation,,
,,,,"107. For the purpose of LGD estimation institutions should use an RDS covering all of the following items: (a) all defaults identified during the historical observation period specified in accordance with section 6.3.2.1; (b) all data necessary for calculating realised LGDs in accordance with section 6.3.1; (c) relevant factors that can be used to group the defaulted exposures in meaningful ways and relevant drivers of loss, including their values at the moment of default and at least within the year before default when available."
,,,,"108. Institutions should include in the RDS information on the results of the recovery processes, including recoveries and costs, related to each individual defaulted exposure. To this end institutions should include: (a) information on the results of incomplete recovery processes until the reference date for the LGD estimation; (b) information on the results of recovery processes at portfolio level, where such aggregation of the information is justified, and in particular in the case of indirect costs and sale of a portfolio of credit obligations. (c) information on external or pooled data used in the estimation of LGDs."
,,,,"109. The RDS should contain at least the following information: (a) obligor-related, transaction-related and institution-related risk characteristics as well as external factors as referred to in paragraph 121 that are potential risk drivers at the relevant reference dates as specified in paragraph 122; (b) moment (date) of default; (c) all default triggers that have occurred, including both past due events and unlikeliness to pay events, even after the identification of default; in the case of exposures subject to distressed restructuring the amount by which the financial obligation has diminished calculated in accordance with the EBA Guidelines on the definition of default; (d) the outstanding amount of the exposure at the moment of default including principal, interest and fees; (e) the amounts and timing of the additional drawings after default; (f) the amounts and timing of write-offs; (g) the values of collaterals associated with the exposure and, where applicable, the type of valuation (such as market value or mortgage lending value as defined in points (74) and (76) of Article 4(1) of Regulation (EU) No 575/2013), date of valuation, a flag of whether the collateral has been sold and the sale price; (h) information on any dependence between the risk of the obligor and the risk of the collateral or collateral provider; (i) the types, amounts and maturities of unfunded credit protection including the specification and credit quality of the protection provider; (j) the amounts, timing and sources of recoveries; (k) the amounts, timing and sources of direct costs associated with recovery processes; (l) a clear identification of the type of termination of the recovery process; (m) where applicable, currency mismatches between two or more of the following elements: the currency unit used by the institution for financial statements, the underlying obligation, any funded or unfunded credit protection and any cash flows from the liquidation of the obligor's assets; (n) amount of realised loss."
,,,,"110. In accordance with Article 229(1) of Regulation (EU) No 575/2013 institutions may use various methods for the valuation of the collateral in the form of immovable property  including in particular market value or mortgage lending value as defined in points (74) and (76) of Article 4(1) of that Regulation. Where institutions use various valuation approaches with regard to immovable properties that secure exposures included in the range of application of a certain rating system, they should collect and store in the RDS the information on the type of valuation and they should use this information consistently in the LGD estimation and in the application of LGD estimates."
,,,,111. Where institutions derive LGD estimates from realised losses and appropriate estimates of PDs in accordance with Articles 161(2) and 181(2)(a) of Regulation (EU) 575/2013 they should use a RDS that includes realised losses on all defaults identified during the historical observation period specified in accordance with section 6.3.2.1 and relevant drivers of loss.
,,,,"112. Where aggregated information is collected and stored, institutions should develop an appropriate methodology for the allocation of recoveries and costs to individual defaulted exposures and should apply this methodology consistently across exposures and over time. In any case institutions should demonstrate that the process of allocation of recoveries and costs is effective and that it does not lead to biased LGD estimates."
,,,,"113. Institutions should demonstrate that they collect and store in their databases all information required to calculate direct and indirect costs. All material indirect costs should be allocated to the corresponding exposures. This cost allocation process should be based on the same principles and techniques that institutions use in their own cost accounting systems. For the purpose of indirect cost allocation institutions may use methods based on exposure weighted averages, or statistical methods based on a representative sample within the population of defaulted obligors or facilities."
,,,,"114. Institutions should take reasonable steps to recognise the sources of the cash flows and allocate them adequately to the specific collateral or unfunded credit protection that has been realised. Where the source of the cash flows cannot be identified, institutions should specify clear policies for the treatment and allocation of such recovery cash flows, which should not lead to a bias in LGD estimation."
,,6.1.3 Recoveries from collaterals,,
,,,,"115. Institutions should recognise the recoveries as stemming from collaterals in all of the following situations: (a) the collateral is sold by the obligor and the obtained price has been used to cover parts or all of the outstanding amount of the defaulted credit obligation; (b) the collateral is repossessed or sold by the institution, the parent undertaking or any of its subsidiaries on behalf of the institution; (c) the collateral is sold in a public auction of the property by court order or in a similar procedure in accordance with the applicable legal framework; (d) the credit obligation is sold together with the collateral and the sale price for the credit obligation included the existing collateral; (e) in the case of leasing, the leasing object is sold by the institution; (f) the collateral is realised by any other method that is eligible under the legal framework of the relevant jurisdiction."
,,,,"116. For the purpose of point (b) of paragraph 115 institutions should determine the value of repossession as the value by which the credit obligation of the obligor has been diminished as a result of the repossession of the collateral, and with which the repossessed collateral was recorded as an asset on the balance sheet of the institution. Where these values are different institutions should consider the lower of the two the value of repossession. The value of repossession should be considered a value of recovery at the date of repossession and should be included in the calculation of the economic loss and realised LGD in accordance with section 6.3.1."
,,,,"117. Institutions should consider whether the value of repossession adequately reflects the value of the repossessed collateral, consistently with any established internal requirements for collateral management, legal certainty and risk management. Where the collateral repossessed meets the criteria for high quality liquid assets at Level 1, as defined in Article 10 of Commission Delegated Regulation (EU) 2015/61, institutions may take into account directly as a realised recovery the market value of the collateral at the time of the repossession. In all other cases institutions should apply an appropriate haircut to the value of repossession and include in the calculation of economic loss a recovery in the amount of the value of repossession after applying the appropriate haircut. Institutions should estimate this haircut taking into account all of the following conditions: (a) the haircut should reflect possible errors in the valuation of the collateral at the moment of repossession taking into account the type of the valuation available at the moment of repossession, the date it was performed and the liquidity of the market for this type of asset; (b) the haircut should be estimated with the assumption that the institution intends to sell the repossessed collateral to an independent third party and should reflect the potential price that could be achieved from such sale, the costs of the sale and the discounting effect for the period from the sale to the moment of repossession taking into account the liquidity of the market for this type of assets; (c) where there are observations available regarding the repossessions and subsequent sales of similar types of collaterals the estimation of the haircut should be based on these observations and should be regularly backtested; for this purpose institutions should take into account all of the following: (i) the difference between the value of repossession and the sale price, especially where there were no significant changes in market and economic conditions between the moment of the repossession and the moment of the sale; (ii) any income and costs related to this asset that were observed between the date of repossession and the moment of the sale; (iii) discounting effects; (iv) whether the institution repossessed the collateral with the intention of immediate sale or whether another strategy was adopted. (d) where historical observations regarding the repossessions and subsequent sales of similar types of collaterals are not available the estimation of the haircut should be based on a case-by-case assessment, including the analysis of the current market and economic conditions; (e) the fewer data an institution has on previous repossessions and the less liquid the market for the given type of assets is, the more uncertainty is attached to the resulting estimates, which should be adequately reflected in the MoC in accordance with section 4.4.3."
,,,,118. In any case the repossession of collateral should be recognised at the moment of repossession and should not prevent the institution from closing the recovery process in accordance with paragraph 155.
,,,,119. Any sale of credit obligations in accordance with point (d) of paragraph 115 should be included in the LGD estimation in a manner appropriate to the LGD estimation methodology taking into account all of the following conditions:
,,,,"(a) where institutions regularly sell credit obligations as part of their recovery processes, they should appropriately reflect the observations related to credit obligations subject to the sale in the model development process;"
,,,,"(b) where institutions do not regularly sell credit obligations as part of their recovery processes and the allocation of the part of the price related to collaterals is too burdensome to make or too unreliable, they may decide not to take these observations into account in the process of model development;"
,,,,(c) institutions should not treat recoveries from the sales of the secured credit obligations as recoveries realised without the use of collaterals unless they can demonstrate that the recoveries related to these collaterals are immaterial;
,,,,"(d) in any case institutions should include all observations, including the sales of credit obligations, in the calculation of long-run average LGD. "
,,,,"120. In accordance with point (f) of paragraph 115 institutions may specify and recognise any other forms of realising collaterals adequate to the types of collaterals used by the institution that are eligible under the applicable legal framework. When recognising such other forms of realising collateral, institutions should take into account the fact that the collateral may take various forms and that various forms of collaterals may be related to the same asset. Where different forms of collateral refer to the same asset but the realisation of one of the collaterals does not decrease the value of the other, institutions should consider them separate collaterals in the process of LGD estimation. In particular, institutions should recognise separately the form of collateral which gives a right to repossess or sell the asset"
,,,,(such as a mortgage) and the form of collateral which gives a right to collect cash flows generated by the asset (such as a cession of rent or fees).
,6.2 Model development in LGD estimation,,,
,,6.2.1 Risk drivers,,
,,,,"121. Institutions should identify and analyse potential risk drivers that are relevant to their specific circumstances and to the specific characteristics of the type of exposures covered by the rating system. Potential risk drivers analysed by institutions should include in particular the following: (a) transaction-related risk characteristics, including type of product, type of collateral, geographical location of the collateral, unfunded credit protection, seniority, Loan-to-Value ratio (LtV), exposure size, seasoning, and recovery procedures; (b) obligor-related risk characteristics, including, where applicable, size, capital structure, geographical region, industrial sector, and line of business; (c) institution-related factors, including internal organisation and internal governance, relevant events such as mergers, and existence of specific entities within the group dedicated to recoveries; (d) external factors, including interest rates, legal framework and other factors influencing the expected length of the recovery process."
,,,,122. Institutions should analyse the risk drivers not only at the moment of default but also at least within a year before default. Institutions should use a reference date for a risk driver that is representative of the realisations of the risk driver within a year before default. When choosing the appropriate reference date for a risk driver institutions should take into account its volatility over time. Institutions should apply these practices also with regard to the reference date of the valuation of collateral; the value of the collateral at the reference date should not reflect the impact of the decrease in credit quality of the exposure shortly before default.
,,,,123. Institutions should specify or calculate the risk drivers in the application of LGD estimates in the same way as they are specified or calculated in the estimation of LGD.
,,6.2.2 Eligibility of collaterals,,
,,,,"124. In accordance with Articles 170 and 181(1)(f) of Regulation (EU) No 575/2013 institutions may take into account in their LGD estimations the existence of any types of collaterals for which they have established internal requirements in terms of collateral management, legal certainty and risk management that are generally consistent with those set out in Section 3 of Chapter 4 of Title II in Part Three of that Regulation. In the case of the types of collateral that are not specified in Chapter 4 of Title II in Part Three of that Regulation institutions may use those types of collaterals in their LGD estimations where their policies and procedures relating to internal requirements for valuation and legal certainty of these collaterals are appropriate to the respective type of collateral."
,,,,125. To the extent that LGD estimates take into account the existence of unfunded credit protection institutions should specify the criteria and methodology for recognising and including in their LGD estimates the protection in the form of guarantees and credit derivatives that meet the criteria specified in Article 60 of the RTS on IRB assessment methodology.
,,,,"126. Institutions should take into account as a risk driver or segmentation criterion information on all main types of collaterals that are used within the scope of application of the LGD model. Institutions should clearly define in their internal policies the main and other types of collaterals used for the type of exposures covered by the rating system and should ensure that, to the extent that LGD estimates take into account the existence of collateral, the policies regarding the management of these types of collateral comply with the requirement of Article 181(1)(f) of Regulation (EU) No 575/2013. Institutions should specify the main types of collaterals in such a way that the cash flows from the remaining types of collaterals will not significantly bias the estimation of recoveries that are realised without the use of collaterals."
,,,,"127. Collaterals which do not meet the requirement of Article 181(1)(f) of Regulation (EU) No 575/2013 cannot be included as a risk driver in the LGD estimation and the cash flows received from those collaterals should be treated as if they had been received without the use of collaterals. Regardless of this treatment in the LGD estimation, institutions should collect the information about the source of the cash flows related to those collaterals and allocate them as related to those collaterals. Institutions should regularly monitor the levels of such cash flows as well as the extent to which the relevant types of collaterals are used. Where necessary, institutions should perform appropriate adjustments in order to avoid any bias in the LGD estimates."
,,6.2.3 Inclusion of collaterals in the LGD estimation,,
,,,,128. For the purpose of LGD estimation institutions may group the types of collaterals that are homogeneous in terms of recovery patterns taking into account both the average time of collection process and the recovery rates on these types of collaterals.
,,,,"129. The approach developed by institutions to include the effect of collaterals in the LGD estimation should meet all of the following conditions: (a) institutions should avoid the bias that may stem from including the cash flows related to realisation of collateral in the estimation of recoveries that are realised without the use of collaterals and vice versa; (b) where institutions estimate separate recovery rates for specific types of collaterals, they should avoid a bias that may stem from including in the estimation sample the observations where the exposure was secured by only a part of the value of the collateral. For this purpose institutions should take reasonable steps to obtain the data on the total value of the collateral and total sale price of the collateral and include this information in the estimation where it is available; (c) where institutions estimate separate recovery rates for specific types of collaterals they should recognise and include in this estimation direct costs related to the collection on each of these specific types of collaterals separately as well; (d) where institutions estimate separate recovery rates for specific types of collaterals they should include in this estimation all recoveries realised from a specific type of collateral including those realised on exposures where the realisation of the collateral has been completed but the overall recovery process has not yet been closed; (e) where the same collateral covers several exposures, institutions should specify an adequate allocation methodology in order to avoid double counting of collaterals; the allocation methodology should be consistent between the LGD estimation and the application of LGD estimates and with the methodology used for accounting purposes; (f) the estimates should not be based solely on the estimated market value of the collateral but they should also take into account the realised recoveries from past liquidations and the potential inability of an institution to gain control and liquidate the collateral. For this purpose, institutions should take into account in the estimation those historical observations where the collateral could not be realised or where the recovery process was longer than expected, due to inability or difficulty to gain control or liquidate the collateral. Where institutions estimate the recovery rates related to specific types of collaterals, they should take into account the time between the moment of default and the time when the cash flows related to the collection on these types of collaterals have been received and should include in the estimation those observations where the collateral has not been realised as a result of inability to gain control; (g) the estimates should take into account the potential decreases in collateral value from the point of LGD estimation to the eventual recovery, in particular those resulting from changes in the market conditions, the state and age of the collateral and, where relevant, currency fluctuations. Where institutions have experienced decreases in values of collaterals and these are already reflected in observed recoveries, no further adjustments to the LGD estimates based on these observations should be made. Where potential decreases in values of collaterals are not reflected in historical observations or where institutions predict further, potentially more severe decreases in the future, they should be included in the quantification of LGD estimates by means of an appropriate adjustment based on forward-looking expectations. However, the LGD estimates should not be adjusted to take into account any potential increases in collateral value; (h) the estimates should take into account in a conservative manner the degree of dependence between the risk of the obligor and the risk of the diminishing value of the collateral as well as the cost of liquidating the collateral."
,,6.2.4 Homogeneity of facility grades or pools,,
,,,,"130. In order to fulfil the requirement of Article 38 of the RTS on IRB assessment methodology, institutions should assess the homogeneity of exposures assigned to the same grades or pools based on the data in the RDS and they should ensure, in particular, that grades are defined in such a manner that individual grades are sufficiently homogeneous with respect to loss characteristics."
,6.3 LGD calibration,,,
,,6.3.1 Calculation of economic loss and realised LGD,,
,,,,6.3.1.1 Definition of economic loss and realised LGD
,,,,"131. For the purpose of LGD estimation as referred to in Article 181(1)(a) of Regulation (EU) No 575/2013, institutions should calculate realised LGDs for each exposure, as referred to in point (55) of Article 4(1) of that Regulation, as a ratio of the economic loss to the outstanding amount of the credit obligation at the moment of default, including any amount of principal, interest or fee."
,,,,"132. For the purpose of paragraph 131, institutions should calculate the economic loss realised on an instrument (i.e. defaulted facility), as referred to in point (2) of Article 5 of Regulation (EU) No 575/2013 as a difference between: (a) the outstanding amount of the credit obligation at the moment of default, without prejudice to paragraph 140, including any amount of principal, interest or fee, increased by material direct and indirect costs associated with collecting on that instrument discounted to the moment of default; and  (b) any recoveries realised after the moment of default discounted to the moment of default."
,,,,133. For the purpose of calculation of the economic loss realised on an exposure in accordance with paragraph 132 institutions should take into account all realised recoveries including the recoveries from unknown sources and recoveries related to collaterals that do not meet the requirement of Article 181(1)(f) of Regulation (EU) No 575/2013.
