Topic,Chapter,Section,Subsection,Article,Content
,,,,66,"In accordance with Article 172(1)(a) of the CRR, institutions must assign each obligor to a grade or pool as part of the credit approval process. To comply with this requirement, institutions should have a clear policy specifying the conditions under which the rating of a third party which has a contractual or organisational relationship with an obligor of the institution (third-party support) may be taken into account in the risk assessment of that obligor. This policy should meet the following criteria. (a) It should specify in which situations the rating of a parent entity could be taken into account in the risk assessment of other entities of the group. In particular, the policy should specify those situations in which obligors are assigned to a better grade than their parent entities. (b) It should include provisions on the use of ratings of third parties that provide contractual support to more than one obligor. As a general rule, the policy should include, but not be limited to, possible prioritisation, eligibility, and the impact on the rating of the supporting third party."
,,,,67,"Articles 201 to 203 of the CRR establish requirements for the eligibility of unfunded credit protection. To comply with these requirements, institutions may recognise the guarantee by applying the risk weight of the guarantor under the standardised approach to the covered part of the exposure, provided that no own estimates of LGD and CCFs are used (foundation IRB (F-IRB)). This applies when an obligor is guaranteed by a third party that is not in the range of application of a PD model and the guarantee fulfils all requirements for credit risk mitigation (CRM), consistently with paragraph 44 of the EBA Report on the CRM Framework. In such situations, under paragraph 74 of the EBA GL on PD and LGD, the guaranteed obligor should be included in the calculation of the one-year default rate of the grade the obligor is assigned to, before the recognition of the guarantee."
,,,,68,"In addition, when the institution reflects substitution effects arising from CRM in the ratings assigned to a material number of exposures within a rating system, there is a risk that the process of assigning exposures to grades or pools might not provide for a meaningful differentiation of risk, as a result of the inclusion of obligors with significantly different risk levels within the same rating grade. To mitigate this risk, institutions should verify that obligors guaranteed by a third party do not carry a significantly different level of risk from those in the same rating grade without such a guarantee, and that no separate calibration segment as referred to in paragraph 97 of the EBA GL on PD and LGD is required."
,,,,69,"When, under paragraph 62(a) of the EBA GL on PD and LGD, an institution performs a rating transfer across different rating systems that do not share the same obligor rating scale, it should ensure that the mapping between rating scales is performed in such a way that the final PD estimate (including MoC) assigned to the guaranteed exposure amount is not better than the final PD estimate (including MoC) being transferred from a third party. Article 171(2) of the CRR establishes that information used to assign obligors and facilities to grades or pools must be current. To comply with this requirement, if a material proportion of exposures or obligors within a rating system receives a rating from another IRB rating system as a result of rating transfers, institutions should ensure that the transferred ratings are automatically updated when the rating of the third party changes or when the PDs of the rating system to which the third party belongs are re-estimated."
,,,,70,"In accordance with Article 179(1)(a) of the CRR, estimates must be plausible and intuitive and must be based on the material drivers of the respective risk parameters. To comply with this requirement, institutions should have sufficient empirical evidence to justify situations where an obligor has an equal or better PD estimate than the third party providing support as a consequence of the treatments specified in paragraph 62(c) of the EBA GL on PD and LGD. In addition, differences between the various forms of contractual support should be considered in the PD models, unless there is sufficient empirical evidence that these differences are not relevant risk drivers. This understanding should also be taken into account if the rating of the third party is being considered as an indication for an override under paragraph 62(b) of the EBA GL on PD and LGD."
,,,,71,"In addition, in the situation described in paragraph 62(b) of the EBA GL on PD and LGD, where a rating of a third party is being taken into account as an indication for an override of the assignment of the relevant obligor to a grade or pool, institutions should not assign a rating to an obligor that is better than the rating of the third party as a consequence of an override resulting solely from the existence of this third-party support."
,,,,72,"Furthermore, when third-party support is used extensively in the scope of application of a PD model, institutions should consider its existence as a potential relevant driver for risk differentiation, in accordance with Section 4.1.2."
,,,4.1.5 Use of shadow rating models,,
,,,,73,"The ECB understands a shadow rating model (SRM) to be an internal rating approach that selects and weighs the risk drivers to be used for risk differentiation purposes by identifying the main factors that explain external ratings provided by an external credit assessment institution or similar organisation, rather than internal directly observed defaults."
,,,,74,"In accordance with Article 144(1)(e) of the CRR, institutions must document the rationale for their rating systems. To comply with this requirement, institutions should justify and document the rationale for the use (and the continued use) of the SRM, instead of the internal default prediction model, and also document the alternative approaches that have been considered, in accordance with Article 41 of the Final Draft RTS on assessment methodology for IRB. In addition, and without prejudice to the risk differentiation requirements, when developing the model institutions should set explicit threshold criteria in terms of capacity to explain the target ratings and take appropriate action when those thresholds are not met."
,,,,75,"Assignment criteria and processes must be periodically reviewed to determine whether they remain appropriate for the current portfolio and external conditions. To comply with this requirement, as part of the review of estimates institutions should take all reasonable steps to demonstrate how the model performs on the application population in terms of predicting defaults or, if that is not possible (when there are not enough internal default data), at least in terms of predicting the target ratings."
,,,,76,"In accordance with Article 170(1)(b) of the CRR, institutions' rating systems must have an obligor rating scale which reflects exclusively the quantification of the risk of obligor default. To this end, institutions should adjust the ratings used as targets for their SRMs if they do not solely embed default risk. They should also document such adjustments."
,,,,77,"In accordance with Article 174(1)(a) of the CRR, when an institution uses a statistical model and other mechanical methods to assign exposures to obligors or facilities, the input variables must form a reasonable and effective basis for the resulting predictions. To comply with this requirement, when the institution uses an SRM external ratings should not be used as risk drivers in addition to target variables."
,,,,78,"When assigning obligors and facilities to grades or pools institutions must take all relevant information into account. To comply with this requirement, when different information sources are used institutions should ensure that they understand the impact of any differences between these sources and establish adequate procedures to ensure that these differences are adequately addressed."
,,,,79,"Furthermore, the data used to build the model must be representative of the population of the institution's actual obligors or exposures. To comply with this requirement, institutions should analyse and provide evidence of the representativeness of the data used for model development consistently with paragraphs 20 to 27 of the EBA GL on PD and LGD."
,,4.2 PD risk quantification,,,
,,,4.2.1 Relevant regulatory references,,
,,,,80,"In accordance with Article 180(1) of the CRR, for exposures to corporates, institutions, central governments and central banks and for equity exposures, institutions must estimate PDs by obligor grade from the LRA of one-year default rates. In accordance with Article 180(2) of the CRR, for retail exposures, institutions must estimate PDs by obligor/facility grade or pool from LRAs of one-year default rates. To comply with these requirements, institutions should follow Sections 4.2.2 to 4.2.6 below."
,,,4.2.2 Calculation of observed average default rates,,
,,,,81,"For the calculation of the one-year default rate and observed average default rates, institutions should follow paragraphs 73 to 81 of the EBA GL on PD and LGD, also considering the following. (a) It is the understanding of the ECB that, for retail exposures and when the definition of default is applied at facility level, paragraphs 73 to 81 of the EBA GL on PD and LGD can be applied facility level. (b) Exposures for which there is no commitment (considering on-balance sheet exposures, off-balance sheet items and unadvised limits) at reference date should be excluded from the calculation of the default rate. Conversely, if there is an EAD estimate, then these exposures should be included in the calculation of the default rate."
,,,,82,"For the purpose of choosing an appropriate approach under paragraph 80 of the EBA GL on PD and LGD, it is the ECB's understanding that overlapping one-year time windows should preferably be used when the analysis performed by the institution under paragraphs 80(a), 80(b) and/or 80(d) of the EBA GL on PD and LGD reveals any of the following: (a) the proportion of short-term and terminated contracts and/or the respective distribution of default rates is not stable over time; (b) the observed average default rate using overlapping one-year time windows is significantly different from the observed average default rate using non-overlapping one-year time windows; (c) there is a significant variation between the observed average default rates calculated using non-overlapping one-year time windows on different reference calculation dates within a year."
,,,,83,"Institutions should estimate PDs taking their own internal data into consideration. In cases where institutions use external or pooled data series to complement their internal data for the purpose of PD estimation, the more internal default experience an institution has, the less importance it needs to give to external data. In addition, institutions should ensure that these external or pooled data series are representative in accordance with Section 3.2 of this guide. To comply with the requirement for the data to be representative and as part of their representativeness analysis, institutions should also ensure that the average observed default rates from external data or from the external part of the pooled data are calculated separately from, and compared with, those based on internal data. This comparison should be made at the levels at which the default rate is to be calculated. This means, in accordance with paragraph 79 of the EBA GL on PD and LGD, that the comparison should be made for each rating grade or pool and for the type of exposures covered by the relevant PD model, as well as for any relevant calibration segment. The direction and magnitude of the differences between these averages should be properly analysed and documented when calibrating the model, including the need and adequacy of the category A MoC considered with regard to paragraph 37(a)(viii) of the EBA GL on PD and LGD, and duly followed up in the review of estimates."
,,,4.2.3 Calibration to the LRA default rate,,
,,,,84,"To calculate the LRA default rate, institutions should follow paragraphs 82 to 86 of the EBA GL on PD and LGD. If an institution makes adjustments to the observed average default rates in order to obtain LRA default rates under paragraph 85(b) of the EBA GL on PD and LGD, these adjustments should be based on (external) default rates, or - if no appropriate default rates are available - on other observed indicators relevant for the type of exposures considered."
,,,,85,"For the purpose of assessing the representativeness of the historical observation period used for the likely range of variability of one-year default rates under paragraph 83 of the EBA GL on PD and LGD, the following should be taken into account. (a) Where the scarcity of internal exposures and/or defaults might unduly influence the variability of internally observed default rates (i.e. where the variability driven by statistical uncertainty is so high in comparison with the structural variability of default rates that it hampers any analysis of them), institutions should assess whether external or pooled default rate series can be used to identify the relevant historical observation period for the likely range of variability of one-year default rates. The external or pooled default series used should be relevant for the specific portfolio at least in terms of geographical composition, sectoral distribution and other relevant risk drivers. When no relevant default rate series can be identified, the items described in paragraphs 83(b) and 83(c) of the EBA GL on PD and LGD should play a crucial role in the assessment. (b) When taking into account the existence of one-year default rates relating to bad years as reflected in economic indicators that are relevant for the considered types of exposures within the historical observation period as referred to in paragraph 83(b) of the EBA GL on PD and LGD, institutions should ensure that such indicators are relevant for the portfolio at least in the terms of geographical composition, sectoral distribution and other risk drivers relevant to the portfolio."
,,,,86,"With respect to calibration to the LRA default rate, institutions should follow paragraphs 87 to 99 of the EBA GL on PD and LGD. If an institution chooses the approach referred to in paragraph 92(b) of the EBA GL on PD and LGD, it should perform additional tests as part of the development and ongoing monitoring of its models to ensure that the final (post-calibration) PDs reflect the LRA default rate of each grade. Specifically, institutions should ensure that there are no systematic deviations when comparing the estimated PDs with the LRA default rate of the grades, i.e. the direction of divergences across grades should be random."
,,,4.2.4 Weighting for retail exposures,,
,,,,87,"Notwithstanding paragraph 84, for retail exposures institutions need not give equal importance to historical data if more recent data are a better predictor of loss rates. In the understanding of the ECB an institution may consider that the more recent data are a better predictor of loss rates and may give more importance to recent historical data if the following apply. (a) There is a significant improvement in the predictive power when using the more recent data with respect to the predictive power resulting from the use of an arithmetic average under paragraph 81 of the EBA GL on PD and LGD. This improvement should be evidenced by comparing the estimated PDs for each grade with the realised default rates covering as long a period as possible, in accordance with Article 185(b) of the CRR. (b) Older data are considered as non-representative as a result of specific policy or business changes in the bank, but not in order to reflect current trends in default rates directly related to macroeconomic conditions. (c) The weighting approach is used in a consistent manner over time and any change in the applied weights of historical data is appropriately justified."
,,,4.2.5 PD quantification based on mapping to external grades,,
,,,,88,"The ECB interprets the possibility for institutions to attribute the default rate observed for the grades of a rating agency or similar organisation to its own grades in accordance with Article 180(1)(f) of the CRR as being equivalent to the use of external data for PD quantification at a more aggregated level (external grade) rather than at the obligor/facility level. Accordingly, Sections 3.2 and 4.2.2 of this chapter are relevant for institutions that do so."
,,,,89,"In accordance with Article 180(1)(f) of the CRR, mappings must be based on a comparison of internal rating criteria with the criteria used by the external organisation and on a comparison of the internal and external ratings of any common obligors. Biases or inconsistencies in the mapping approach or underlying data must be avoided. To comply with these requirements, institutions should follow the paragraphs listed below. 46 (a) Institutions should ensure that the quality of the mapping between internal and external rating scales at a given date and over time is consistent and provides for an adequate level of predictive ability. (b) When mapping internal grades to external grades, institutions should document and analyse any differences between the external and internal rating criteria. (c) The use of common obligors as a basis for the mapping should take into account their representativeness for the application portfolio. Article 180(2)(e) of the CRR. (d) Institutions should adjust the external rating scale if such rating scale does not solely embed default risk. They should also document such adjustments. (e) When mapping internal grades to external grades and using the default rates of the external grades provided by the organisation, if the latter has a material number of entities for which it no longer provides a rating (withdrawn rating), the institution should take this into account. It should adjust the external default rates accordingly, if necessary, and take into consideration the provisions of paragraph 75 of the EBA GL on PD and LGD. In the event that an adjustment is performed, the institution should add the necessary MoC."
,,,4.2.6 Specific requirements for direct PD estimates,,
,,,,90,"In order to use direct PD estimates for the calculation of own funds requirements in accordance with Article 169(3) of the CRR, institutions should follow paragraphs 96 and 98(b) of the EBA GL on PD and LGD. To assess whether the theoretical assumptions of the probability model underlying the estimation methodology are satisfied to a sufficient extent in practice under paragraph 96 of the EBA GL on PD and LGD, institutions should do the following. 47 (a) Ensure good risk differentiation properties across the full PD range of the rating system. (b) Have an adequate and documented concept in place specifying the calibration function currently implemented (concrete functional form), including the underlying theoretical assumptions and the established processes to conduct the PD calibration. It is the ECB's understanding that institutions should ensure consistency between the score-inferred PDs and the observed default rates and should understand and justify the transformation of the scores into PD values. (c) Ensure that any transformation of the scores resulting from the probability model that is applied during the calibration does not change the ranking of the obligors/facilities (in other words, co-monotonicity between scores/raw PDs and PD values should be ensured). Moreover, institutions should avoid any undue influence of extreme values of score-inferred PDs on the shape of the calibration function. Additionally, and when institutions use different calibration functions for different sub-ranges, they should ensure that this mix is appropriate (both in terms of the functional forms used and the cut-offs selected) and that it is appropriately justified. In accordance with Article 170(1)(b) of the CRR, institutions' rating systems must have an obligor rating scale which reflects exclusively the quantification of the risk of obligor default. (d) Ensure that there is a relevant number of observations across the whole range of score-inferred PDs. Particular interest should be paid to situations where the probability model is extended to ranges of PD values where there are not enough defaulted observations. (e) Ensure that there are no excessive concentrations of exposures or obligors within the PD range of the rating system. In addition, high concentrations of observations in a specific range of score-inferred PDs should be properly analysed and justified in terms of homogeneity. (f) For the purpose of performing the additional tests at grade level referred to in paragraph 92(b) of the EBA GL on PD and LGD, grades should be understood as sub-ranges of PD values. These sub-ranges should be defined in a way that: (i) represents sufficiently narrow ranges of PD values; (ii) contains a sufficient number of observations to ensure a meaningful calculation of the LRA default rate of the sub-range."
,,,,91,"In cases where institutions map the PDs to a masterscale (defined in terms of PD bounds) as a final step in the PD estimation process (using masterscale discrete PDs for the purpose of RWEA calculation), there is a risk that the mapping process could distort RWEAs. To mitigate this risk, institutions should verify that deviations between the masterscale PDs and the average of the direct PDs assigned to obligors in each grade do not show a systematic or material bias towards underestimation of PD per grade over time. This analysis should be provided for both the portfolio and for each grade."
,5 Loss given default,,,,
,,5.1 Realised LGD,,,
,,,5.1.1 Relevant regulatory references,,
,,,5.1.2 Reference dataset,,
,,,,92,"Under paragraph 102 of the EBA GL on PD and LGD, institutions should estimate LGDs on the basis of their own loss or recovery experience. Institutions may supplement their own historical data on defaulted exposures with external data. The more own loss experience (i.e. the more internal defaults) an institution has, the less importance it needs to give to external data. Institutions should ensure that their own historical experience contains a minimum number of defaults in order to determine whether external data are sufficiently representative."
,,,,93,"To ensure that LGD estimations are accurate and are not underestimated as a result of different external and internal recovery processes, institutions should place greater importance on comparisons of internal recovery processes with the recovery processes underlying the external data, in cases where a high weight is assigned to external data. Where limited representativeness of external data is found, a category A MoC should be considered, in order to reflect the uncertainty of the estimation under paragraph 37(a)(viii). Its magnitude should also be quantified in relation to the weight assigned to the external data."
,,,,94,"When institutions use information derived from the market price of defaulted financial instruments to supplement their internal loss or recovery experience data, there is a risk of misspecification of their LGD estimates. To mitigate this risk, institutions should ensure the following: (a) institutions should verify whether the development sample is representative of the application portfolio at least in terms of regions and product type, even when those variables have not been identified as relevant risk drivers; (b) losses derived from market prices should be increased to reflect indirect costs, as specified in paragraph 146 of the EBA GL on PD and LGD."
,,,5.1.3 Calculation of realised LGD,,
,,,,95,"Article 4(1)(55) of the CRR defines LGD as the ratio of the loss on an exposure due to the default of a counterparty to the amount outstanding at default. For the purposes of Article 181(1)(a) of the CRR, institutions are required to calculate realised LGD. To comply with this requirement, it is the ECB's understanding that institutions should calculate realised LGD under paragraphs 100 to 103 and 131 to 146 of the EBA GL on PD and LGD. In addition, when performing this calculation institutions should follow the observations in the succeeding paragraphs."
,,,,96,"In accordance with Article 181(1)(h) of the CRR, institutions must have estimates of LGD in-default and ELBE on defaulted exposures. To comply with this requirement, it is the ECB's understanding that all principles regarding the calculation of realised LGD should be applied for the estimation of LGD on nondefaulted exposures and for the estimation of LGD in-default and ELBE on defaulted exposures, unless mentioned otherwise (that is, if the reference date is considered instead of the date of default)."
,,,,97,"Where, in the case of retail exposures and purchased corporate receivables, institutions derive LGD estimates from realised losses and appropriate estimates of PDs in accordance with Articles 161(2) and 181(2)(a) of the CRR and under paragraph 103 of the EBA GL on PD and LGD, all the principles regarding realised LGD should apply to realised losses."
,,,,98,"Institutions must document the specific definitions of default and loss used internally and ensure that they are consistent with the definitions set out in the CRR. To comply with these requirements, institutions should have in place sufficiently detailed policies and procedures to ensure that the realised LGD is calculated consistently and accurately, including the implementation of the definition of economic loss. These policies and procedures should include sufficiently detailed documentation to allow third parties to replicate the calculation of realised LGD. To ensure that the policies and procedures are implemented in an appropriate and adequate manner, the calculation process should be regularly reviewed by an independent unit."
,,,,99,"In accordance with Article 181(1)(a) of the CRR and under paragraph 100 of the EBA GL on PD and LGD, institutions should calculate the realised LGD at facility level for each default. In exceptional cases, the ECB considers institutions to be compliant with the requirement to calculate realised LGD at facility level if they can prove that the recovery is not performed at individual facility level but at a more aggregated level (for example, several facilities of the same or different types secured by the same collateral). The realised LGD can therefore be calculated at a more aggregated level than individual facility level. For this exceptional deviation from the calculation of realised LGD at facility level to be acceptable, institutions should: 49 (a) provide evidence that recovery at aggregated level is legally enforceable. (b) on a regular basis (as often as review of estimates is performed or more often), provide evidence that recovery at a more aggregated level than single facility level is in practice enforced. This evidence should be based on the institution's historical practice and data and demonstrate that both the recovery process and its outcomes in terms of realised loss or recovery are the same for all the facilities considered at the aggregated level. Specifically, institutions should be able to prove that all collateral within an aggregation is called irrespective of the product triggering default (thus, for a current account as for a home loan) and that realised loss or observed recovery is the same for all types of facility within the aggregation. (c) for retail exposures where institutions use definition of default at facility level in accordance with the last sentence of Article 178(1) of the CRR, ensure that the default is triggered for all aggregated facilities. In addition, institutions following this approach should: (d) ensure that the parameters are applied in a manner that is consistent with how they have been estimated, i.e. across aggregated facilities; (e) ensure that the counting unit used for the purposes of risk quantification is at this aggregated level; (f) ensure that no bias results from the aggregation of facilities, by validating the estimates (PD, LGD, CCF) at the more aggregated level also."
,,,,100,"As mentioned in paragraph 95, for the purposes of Article 181(1)(a) of the CRR institutions are required to calculate realised LGD, which is defined by Article 4(1)(55) of the CRR as the ratio of the loss on an exposure due to the default of a counterparty to the amount outstanding at default. Furthermore, Article 5(2) of the CRR defines loss as an economic loss, including material discount effects, and material direct and indirect costs associated with collecting on the instrument. In accordance with these provisions, it is the ECB's understanding that institutions should calculate realised LGD as a ratio of the economic loss to the outstanding amount of the credit obligation at the moment of default, including any amount of principal, interest or fee (hereinafter outstanding amount at default). To calculate realised LGD, institutions should follow paragraphs 131 to 146 of the EBA GL on PD and LGD. In addition, they should pay particular attention to the following points. (a) Outstanding amount at default includes any part of the exposure that has been forgiven or written off before or at the date of default (paragraph 134 of the EBA GL on PD and LGD). This amount is equal to the accounting value gross of credit risk adjustment (i.e. ""provisions"") (Article 166(1) of the CRR). This amount also includes interest and fees capitalised in the institution's income statement before the moment of default. However, interest and fees capitalised after the moment of default are not considered (paragraphs 137 to 138 of the EBA GL on PD and LGD). Where institutions include additional drawings after the moment of default to estimate CCFs, these additional drawings discounted to the moment of default are added to the outstanding amount at default in the denominator (paragraphs 139 to 142 of the EBA GL on PD and LGD). In other words, institutions should ensure that the exposure used for CCF estimation, where additional drawings after default are discounted with the same discount factor as applied for LGD, is consistent with the denominator of the LGD. (b) Economic loss is calculated under paragraph 132 of the EBA GL on PD and LGD. This also applies in the specific case of facilities that return to non-defaulted status, where losses arising from payment delays are expected to be accounted for as well as the ""artificial cash flow"" envisaged by paragraph 135 of the EBA GL on PD and LGD. (c) When recoveries are not directly observed but calculated on the basis of the difference between exposure values at two consecutive dates or derived, even partially, from some other treatment, all assumptions should be duly justified and clearly documented in order to adequately replicate the recovery flows that occur during the recovery process in accordance with letters a) and b) above. Institutions are expected to pay particular attention to the treatment of interest and fees capitalised after default, the treatment of additional drawings and the treatment of write-offs."
,,,,101,"The economic loss as defined in Article 5(2) of the CRR also includes material discounts. The understanding of the ECB is as follows. (a) Paragraph 134 of the EBA GL on PD and LGD refers to all losses incurred through forgiveness or write-off. (b) Where institutions open new facilities to replace previously defaulted facilities as part of restructuring or for technical reasons, the economic loss should include the decrease in the degree of financial obligation arising from changes in the contractual conditions (i.e. material forgiveness or postponement of payment of principal, interest, or fees). The amount by which the financial obligation has diminished should be calculated under paragraph 51 of the EBA Guidelines on the definition of default. However, no double-counting of debt forgiveness is intended (for example, in the case of exposures that return to non-defaulted status, a possible doublecounting through the diminished financial obligation and the artificial cash flow is not intended)."
,,,,102,"Realised LGD for individual facilities may be zero or lower when it is the actual result of the recovery process (for example, where additional recoveries offset the discounting effect and costs). Institutions should, however, pay particular attention to no-loss exposures, since they may reveal issues with the calculation of realised losses - for example, costs not being adequately allocated to recovery processes, or inadequate treatment of amounts forgiven or written off."
,,,5.1.4 Treatment of multiple defaults,,
,,,,103,"For the purpose of LGD estimation and in order to ensure an appropriate measurement of economic loss as defined in Article 5(2) of the CRR, institutions should consider an exposure that returns to normal status and subsequently defaults in a short period of time as being constantly defaulted from the moment the first default occurred. This treatment should be applied under paragraph 101 of the EBA GL on PD and LGD. In addition, institutions should follow the observations in the following paragraphs. (a) Paragraph 101 of the EBA GL on PD and LGD envisages the definition of a period longer than nine months when this is appropriate for the specific type of exposures and reflects the economic meaning of the default experience. It is the ECB's understanding that a longer period is adequate when the proportion of subsequent defaults occurring on individual facilities over a period of more than nine months is significant, unless institutions are able to provide evidence that the second (or subsequent) default is unconnected with the original default event. This evidence may include analysis of the curing process. (b) Time considered between two defaults is conditional upon the existence and length of probation periods. Where institutions have not adopted the minimum three-month probation period, or any equivalent or longer probation period, on non-distressed restructured facilities under paragraph 71 of the EBA Guidelines on the definition of default, they should consider a 12-month period for the application of paragraph 101 of the EBA GL on PD and LGD. Where they have not adopted the minimum 12-month probation period, or any equivalent or longer probation period, on distressed restructured facilities under paragraph 72 of the EBA Guidelines on the definition of default, they should consider a 21-month period for the application of paragraph 101 of the EBA GL on PD and LGD. (c) In the particular case of an institution opening new facilities to replace previously defaulted facilities as part of restructuring or for technical reasons, it should be able to make or trace a connection between the restructured facility and the facility (or facilities) previously advanced and which it is restructuring."
,,5.2 LGD structure,,,
,,,5.2.1 Relevant regulatory references,,
,,,,104,"In order to comply with the requirements regarding the structure of LGD models as set out in Article 170(1)(e) and (f) and 170(3)(b) and (c) of the CRR, institutions should follow the observations below."
,,,,105,"LGD estimates must be based on the material drivers of risk. To comply with this requirement, institutions should identify and analyse potential risk drivers under paragraphs 121 to 123 of the EBA GL on PD and LGD. When selecting the risk drivers, institutions should take into consideration any changes in product mix or characteristics between the reference and default dates."
,,,,106,"Institutions' rating systems must provide for a meaningful assessment of obligor and transaction characteristics, a meaningful differentiation of risk and accurate and consistent quantitative estimates of risk. It is the ECB's understanding that to comply with this requirement institutions should demonstrate that, in terms of the range of application of LGD models, the model performs adequately (in terms of discriminatory power and predictive power) on economically significant and material sub-ranges of application of the rating systems. The sub-ranges are identified by splitting the full range of application of the LGD model into different parts on the basis of potential drivers for risk differentiation, among which, where relevant, the drivers referred to in paragraph 121 of the EBA GL on PD and LGD."
,,,,107,"The number of grades and pools must be adequate for a meaningful risk differentiation and for the quantification of the LGD at the grade or pool level. To comply with this requirement, institutions should ensure the following (a) an adequate distribution of facilities across grades or pools in the datasets used for development and (initial and regular) validation. For this purpose: (i) any unusually low number of facilities in a grade or pool is expected to be supported by empirical evidence of the adequacy of isolating those facilities in a specific grade or pool; (ii) any unusually high concentration of facilities in a grade or pool is expected to be supported by empirical evidence of homogeneity within these grades or pools (for example by analysing whether some potential risk drivers (e.g. exposure size) that could further differentiate between riskier and less risky facilities have not been considered). (b) sufficient homogeneity of the risk within each grade or pool by providing empirical evidence that the grade-level LGD is adequate for all facilities in that grade. For this purpose, in cases where it is found (through the use of additional drivers or a different discretisation of the existing ones) that a material subset of facilities within a grade or pool yields a significantly different average realised LGD to that of the rest of the grade or pool, this is considered to indicate a lack of homogeneity. (c) sufficient heterogeneity of the risk across grades or pools by providing empirical evidence that the average realised LGD is different across consecutive grades or pools, for subsets for which there is a meaningful order."
,,,,108,"Where an institution uses direct estimates of risk parameters, these may be seen as estimates assigned to grades on a continuous rating scale. In this case, in the ECB's understanding the same requirements apply when an institution uses direct estimates of risk parameters as apply to grade-based models. To comply with these requirements, institutions are expected to ensure risk differentiation in accordance with the following principles: (a) if the LGD estimates used to calculate the RWEAs are based on default weighted LRAs of realised LGDs for grades or pools, irrespective of whether at some point direct LGD estimates may have been used to define such grades or pools, this grade or pool level is the relevant one for the application of the principles set out in paragraph 107; (b) when the situation described in point (a) above does not apply and, instead, several components are estimated separately and then combined in order to obtain the direct LGD estimates at facility level, institutions should adequately analyse and reflect in the model possible dependencies between the components (e.g. through relevant risk drivers); (c) in the case of other direct LGD estimates (i.e. where no components are defined) the principles above are expected to be applied where relevant."
,,,,109,"In addition to paragraph 108 above and when institutions split the facilities into different components (for example secured and unsecured), there is a risk that a meaningful differentiation of risk will not be achieved at facility level. To mitigate this risk, institutions should ensure that no bias is introduced in the risk differentiation when combining the different components in order to obtain the final LGD estimate at facility level. Specifically: (a) the allocation of recovery flows to these components should be adequately documented and implemented in a consistent way; (b) risk differentiation (analogous to risk quantification) should be ensured with respect to facility level."
,,5.3 Risk quantification,,,
,,,5.3.1 Relevant regulatory references,,
,,,5.3.2 Observed average LGD,,
,,,,110,"To comply with the requirement of obtaining an LRA LGD in accordance with Article 181(1)(a) of the CRR, institutions should calculate the observed average LGD under paragraphs 147, 148, 154-157 and 160 of the EBA GL on PD and LGD. When performing this calculation, institutions should follow the principles set out below."
,,,,111,"Under paragraph 147 of the EBA GL on PD and LGD, default observations that are triggered close to the time of the LGD estimation process (i.e. observations with a recent default when the LGD is being estimated) are part of the historical observation period and should be included in the RDS. Since for these recent defaults only limited information is available regarding the full recovery process, the treatment of incomplete recovery processes envisaged in paragraph 158 of the EBA GL on PD and LGD is more complex and could add uncertainty to the LGD estimates. It is the ECB's understanding that to mitigate this risk institutions may establish a minimum period of time during which the default should be observed in order for it to be considered in the calculation of the observed average LGD. This minimum period should be adequately justified and institutions should ensure that all relevant information regarding defaults observed for a shorter period (e.g. a change in the characteristics of defaults) is considered in the LGD estimates. In any case this period should not be longer than 12 months."
,,,,112,"For the purposes of LGD estimation (and validation), long recovery processes are expected to be considered as closed under paragraph 156 of the EBA GL on PD and LGD. The objective of defining the maximum period of the recovery process (""time-to-workout"") is to avoid situations where institutions give consideration to overly optimistic recoveries from open exposures that are already at a very advanced stage of the recovery process. To achieve this, the specification of the ""time-to-workout"" should be supported by evidence of the observed pace of recoveries and be consistent with the nature of the products concerned, the type of exposures and the operational recovery process. In addition, the institution should substantiate and clearly document the studies that support the formulation of the time-to-workout and should pay particular attention to the following. (a) The specific moment after the date of default at which nearly nil evolution of the average cumulative recovery rates is observed. For example, when the cumulative recovery curves show a pronounced increase after which they flatten out, the time spent in default after the significant increase occurs could be used directly as the time-to-workout, especially in the case of unsecured exposures. (b) The period of time after the date of default where the cumulative percentage of closed/recovered exposures flattens. (c) The number of exposures used to construct the curves referred to at letters (a) and (b) above, in order to identify situations where only a few cases contribute to the shape of the curves. (d) The expected recovery rate conditioned to vintages higher than the timeto-workout. (e) For secured exposures, the share of exposures for which recoveries from collateral have not yet been realised."
,,,5.3.3 Treatment of incomplete recovery processes,,
,,,,113,"In order to obtain an LRA LGD in accordance with Article 181(1)(a) of the CRR, institutions should ensure that the relevant information from incomplete recovery processes is taken into account in a conservative manner. For this purpose, institutions should analyse their incomplete recovery processes and extract the information relevant for LGD estimation under paragraphs 153 to 159 of the EBA GL on PD and LGD. In addition, institutions should:  (a) justify and document their methodology for the treatment of incomplete recovery processes, and in particular how they take into account paragraph 159 of the EBA GL on PD and LGD; (b) for the purpose of paragraph 159(a) of the EBA GL on PD and LGD in particular, base the extrapolation of future recoveries on defaults arising from vintages (i.e. group of exposures which defaulted in a given period of time) for which, during the period already observed, similar average past recoveries have been realised on similar exposures; (c) in order to ensure transparency regarding the impact from the treatment of incomplete recovery processes, assess the sensitivity of the treatment with respect to the main assumptions."
,,,5.3.4 Recovery processes where collateral has been repossessed and not yet sold,,
