Chapter,Section,Article,Paragraph
,,,(f) review the role of the validation function in the internal approval procedure of rating systems and all related changes;
,,,"(g) review the action plan of each relevant recommendation, also in terms of its follow-up, as approved by the appropriate management level."
,,,"4. For the assessment of the credit risk control unit, referred to in paragraph 1(b)(iii), in addition to the requirements referred to in paragraph 2, competent authorities shall apply all of the following core methods:"
,,,(a) review the roles and responsibilities of all relevant staff and senior management of the credit risk control unit;
,,,"(b) review the relevant reports submitted by the credit risk control unit and the senior management, to the management body or to the designated committee thereof."
,,,"5. For the assessment of the internal audit or any other comparable independent auditing unit, referred to in paragraph 1(b)(iv), in addition to the requirements referred to in paragraph 2, competent authorities shall apply all of the following core methods:"
,,,(a) review the relevant roles and responsibilities of all relevant staff involved in the internal audit;
,,,(b) review the adequacy and appropriateness of the annual internal audit work plan;
,,,"(c) review the relevant auditing manuals, the relevant work programs, the findings and the recommendations included in the relevant audit reports;"
,,,"(d) review the action plan of each relevant recommendation, also in terms of its follow-up, as approved by the appropriate management level."
,SECTION 2 METHODOLOGY FOR ASSESSING THE VALIDATION FUNCTION,,
,,Article 10 Independence of the validation function,
,,,"1. In assessing the independence of the validation function as referred to in Article 9(1)(a)(i), competent authorities shall verify that both of the following conditions are met:"
,,,(a) that the unit responsible for the validation function is independent from the personnel and management function responsible for originating or renewing exposures and for the model design or development;
,,,(b) that the validation function reports directly to senior management.
,,,"2. Where the unit responsible for the validation function is organisationally separate from the credit risk control unit and both units report to different members of the senior management, then competent authorities shall verify, in particular both of the following:"
,,,"(a) that the validation function has at its disposal adequate resources, including experienced and qualified personnel to perform its tasks;"
,,,(b) that the remuneration of the staff and senior managers responsible for the validation function is not linked to the performance of the tasks relating to credit risk control and to originating or renewing exposures.
,,,"3. Where the unit responsible for the validation function is organisationally separate from the credit risk control unit but both units report to the same member of the senior management, competent authorities shall verify in particular all of the following:"
,,,"(a) that the validation function has at its disposal adequate resources, including experienced and qualified personnel to perform its tasks;"
,,,(b) that the remuneration of the staff and senior managers responsible for the validation function is not linked to the performance of the tasks relating to credit risk control and to originating or renewing exposures;
,,,"(c) that there is a decision-making process in place to ensure that the conclusions, findings and recommendations of the validation function are properly taken into account by the senior management of the institution;"
,,,(d) that no undue influence is exercised on the validation conclusions;
,,,(e) that all necessary corrective measures are decided and implemented in a timely manner;
,,,(f) that internal audit regularly assesses the fulfilment of the conditions referred to in points (a) to (e).
,,,"4. Where no separate validation unit exists, but the staff performing the validation function is different from the staff responsible for the design and development of the rating system, and from the staff responsible for the credit risk control function, competent authorities shall, verify in particular all of the following:"
,,,"(a) that the validation function has at its disposal adequate resources, including experienced and qualified personnel to perform its tasks;"
,,,(b) that the remuneration of the staff and senior managers responsible for the validation function is not linked to the performance of the tasks relating to credit risk control and to originating or renewing exposures;
,,,"(c) that there is a decision-making process in place to ensure that the conclusions, findings and recommendations of the validation function are properly taken into account by the senior management of the institution;"
,,,(d) that no undue influence is exercised on the validation conclusions;
,,,(e) that all necessary corrective measures are decided and implemented in a timely manner;
,,,(f) that internal audit regularly assesses the fulfilment of the conditions referred to in points (a) to (e);
,,,(g) that there is effective separation between the staff performing the validation function and the staff performing the other tasks;
,,,(h) that the institution is not a global or other systemically important institution in the meaning of Article 131 of Directive 2013/36/EU.
,,,"5. In performing the assessment of the independence of the validation function, competent authorities shall also assess whether the choice of the institution with regard to their organisational options among those referred to in paragraphs 2 to 4 is adequate, taking into account the nature, size and scale of the institution and the complexity of the risks inherent in its business model."
,,Article 11 Frequency and completeness of the validation process,
,,,1. In assessing the completeness of the validation function as referred to in Article 9(1)(a)(ii) competent authorities shall verify that:
,,,(a) the institution has defined and documented a complete validation process for all rating systems;
,,,(b) the institution performs the validation process referred to in point (a) with an adequate frequency.
,,,"2. In assessing the completeness of the validation process as referred to in paragraph 1(a), competent authorities shall verify that the validation function:"
,,,"(a) critically reviews all the aspects of the specification of the internal ratings and risk parameters, including the procedures for data collection and data cleansing, the choices of the methodology and model structure, and the process for the selection of the variables;"
,,,(b) verifies the adequacy of the implementation of internal ratings and risk parameters in IT systems and that grade and pool definitions are consistently applied across departments and geographic areas of the institution;
,,,(c) verifies the performance taking into account at least risk differentiation and quantification and the stability of the internal ratings and risk parameters and the model specifications;
,,,"(d) verifies all changes related to internal ratings and risk parameters and their materiality in accordance with the relevant provisions of Delegated Regulation (EU) No 529/2014 and, in particular, that it consistently follows up on its own conclusions and recommendations."
,,,"3. In assessing the frequency of the validation process as referred to in paragraph 1(b), competent authorities shall verify that the validation process is performed regularly for all rating systems of the institution following an annual work plan and, more in particular, that:"
,,,(a) for all rating systems the process referred to in point (b) of Article 185 of Regulation (EU) No 575/2013 ('backtesting') is performed at least once annually;
,,,"(b) for the rating systems covering material types of exposures, the performance of the rating systems as referred to in point (c) of paragraph 2, takes place at least once annually."
,,,"4. Where an institution applies for permission to use the internal ratings and risk parameters of a rating system or for any material changes to internal ratings and risk parameters of a rating system, competent authorities shall verify that the institution performs the validation referred to in points (a) to (c) of paragraph 2 before the rating system is used for the calculation of own funds requirements and for internal risk management purposes."
,,Article 12 Adequacy of the methods and procedures of the validation function,
,,,"In assessing the adequacy of the validation function methods and procedures as referred to in Article 9(1)(a)(iii), competent authorities shall verify that validation methods and procedures of the institution allow for a consistent and meaningful assessment of the performance of the internal rating and risk estimates as required by Article 185 of Regulation (EU) No 575/2013, and more in particular by verifying that:"
,,,(a) the validation methods and procedures are appropriate for assessing the accuracy and consistency of the rating system;
,,,"(b) the validation methods and procedures are appropriate to the nature, degree of complexity and scope of application of the institution's rating systems and data availability;"
,,,"(c) the validation methods and procedures clearly specify the validation objectives, standards and limitations, a description of all validation tests and datasets, as well as data cleansing, data sources and reference time periods, and the fixed targets and tolerances for defined metrics, which may be different for the initial and regular validation;"
,,,"(d) the validation methods, in particular the tests performed, the reference dataset used for the validation and the respective data cleansing are applied consistently over time;"
,,,"(e) the validation methods include back-testing and benchmarking as referred to in points (b) and (c), respectively, of Article 185 of Regulation (EU) No 575/2013;"
,,,"(f) the validation methods take account of the way business cycles and the related systematic variability in default experience are considered in the internal ratings and risk parameters, especially regarding PD estimation."
,,"Article 13 Soundness of the reporting process and the process to address the validation conclusions, findings and recommendations",
,,,"In assessing the soundness of the reporting process and the process to address the validation conclusions, findings and recommendations, as referred to in Article 9(1)(a)(iv), competent authorities shall verify, in particular, that:"
,,,"(a) the validation reports identify and describe the validation methods used, the tests performed, the reference dataset used and the respective data cleansing processes and include the results of those tests, the conclusions, the findings and the relevant recommendations;"
,,,(b) the conclusions and recommendations of the validation reports are directly communicated to senior management and to the management body of the institution or to the committee designated by it;
,,,"(c) the conclusions and recommendations of the validation report are reflected in changes and improvements in the design of internal ratings and risk estimates, including in the situations referred to in the first sentence of point (e) of Article"
,,,185 of Regulation (EU) No 575/2013;
,,,(d) the decision making process of the institution takes place at the appropriate management level.
,SECTION 3 METHODOLOGY FOR ASSESSING INTERNAL GOVERNANCE AND OVERSIGHT,,
,,Article 14 Senior management and management body,
,,,"In assessing the soundness of the institution's internal governance as referred to in Article 9(1)(b)(i), competent authorities shall verify in particular that:"
,,,"(a) the decision-making process of the institution, its hierarchy, reporting lines and levels of responsibility, are clearly laid down in the internal documentation of the institution and consistently reflected in the minutes of its internal bodies;"
,,,(b) both the management body or the committee designated by it and the senior management approve at least all of the following material aspects of the rating systems:
,,,"(i) all relevant policies related to the design and implementation of rating systems and application of the IRB Approach, including the policies related to all material aspects of the rating assignment and risk parameter estimation and validation processes;"
,,,(ii) all relevant risk management policies including those related to IT infrastructure and contingency planning;
,,,(iii) the risk parameters of all rating systems used in internal risk management processes and in the calculation of own funds requirements;
,,,(c) the management body or the committee designated by it sets the appropriate organisational structure for the sound implementation of the rating systems by way of a formal decision;
,,,"(d) the management body or the committee designated by it approves by way of a formal decision the specification of the acceptable level of risk, taking into account the internal rating system scheme of the institution;"
,,,"(e) the senior management has a good understanding of all rating systems of the institution, of their design and operation, the requirements for the IRB Approach and the institution's approach to meeting those requirements;"
,,,"(f) the senior management provides notice to the management body or the committee designated by it, of material changes to or exceptions from  established policies that materially impact the operations of the institution's rating systems;"
,,,(g) the senior management is in a position to ensure on an ongoing basis the good functioning of the rating systems;
,,,"(h) the senior management takes relevant measures where weaknesses of the rating systems are identified by the credit risk control, the validation, the internal audit or any other control function."
,,Article 15 Internal reporting,
,,,"In assessing the adequacy of the internal reporting as referred to in Article 9(1)(b)(ii), competent authorities shall, in particular, verify that:"
,,,(a) the internal reporting includes all of the following:
,,,"(i) a risk profile of the obligors or exposures, by grade;"
,,,(ii) the migration across grades;
,,,(iii) an estimation of the relevant parameters per grade;
,,,"(iv) a comparison of realised default rates, and, to the extent that own estimates are used, of realised LGDs and realised conversion factors against expectations;"
,,,(v) stress test assumptions and results;
,,,"(vi) information about the performance of the rating process, areas needing improvement and the status of efforts to improve previously identified deficiencies of the rating systems;"
,,,(vii) validation reports;
,,,"(b) the form and the frequency of internal reporting correspond to the significance and type of the information and to the level of recipient, taking into account the institution's organizational structure;"
,,,(c) the internal reporting facilitates the senior management's monitoring of the credit risk in the overall portfolio of exposures covered by the IRB Approach;
,,,"(d) the internal reporting is proportionate to the nature, size, and degree of complexity of the institution's business and organizational structure."
,,Article 16 Credit risk control unit,
,,,"1. In assessing the internal governance and oversight of the institution in relation to the credit risk control unit, as referred to in Article 9(1)(b)(iii), competent authorities shall verify in particular that:"
,,,(a) the credit risk control unit or units are separate and independent from the personnel and management functions responsible for originating or renewing exposures;
,,,(b) the credit risk control unit or units are adequate and functional for the purposes of performing their tasks.
,,,"2. In the course of the assessment referred to in paragraph 1(a), competent authorities shall verify in particular that:"
,,,(a) the credit risk control unit or units are one or more distinct organisational structures within the institution;
,,,(b) the head or heads of the credit risk control unit or units are part of the senior management as defined in point (9) of Article 3(1) of Directive 2013/36/EU taking into account the principles set out in Article 76(5) of that Directive;
,,,(c) the staff and the senior management responsible for the credit risk control unit or units are not responsible for originating or renewing exposures;
,,,(d) senior managers of the credit risk control unit or units and of units responsible for originating or renewing exposures report to different members of the management body of the institution or the committee designated by it;
,,,(e) the remuneration of the staff and senior management responsible for the credit risk control unit or units is not linked to the performance of the tasks relating to originating or renewing exposures.
,,,"3. In the course of the assessment referred to in paragraph 1(b), competent authorities shall verify, in particular, that:"
,,,"(a) the credit risk control unit or units are proportionate to the nature, size and degree of complexity of the institution's business and organizational structure, and in particular to the complexity of the rating systems and their implementation;"
,,,"(b) the credit risk control unit or units have adequate resources, and experienced and qualified personnel to undertake all relevant activities;"
,,,"(c) the credit risk control unit or units are responsible for the design or selection, implementation and oversight and the performance of the rating systems, as referred to in the second sentence of Article 190(1) of Regulation (EU) No 575/2013 and the areas of responsibility referred to in Article 190(2) of that Regulation;"
,,,"(d) the credit risk control unit or units regularly inform the senior management about the performance of the rating systems, areas needing improvement, and the status of efforts to improve previously identified deficiencies."
,,Article 17 Internal audit,
,,,"4. In assessing the internal governance and oversight of the institution in relation to the internal audit or another comparable independent auditing unit, as referred to in Article 9(1)(b)(iv), competent authorities shall verify in particular that:"
,,,"(a) the internal audit or another comparable independent auditing unit reviews at least annually all rating systems of the institution as defined in Article 142(1) of Regulation (EU) No 575/2013 and the operations of the credit risk control function, credit approval process and internal validation function;"
,,,"(b) the review referred to in point (a) facilitates the specification in the annual work plan of areas that require a detailed review of compliance with all applicable requirements laid down in Chapter 3, Title II, Part three of Regulation (EU) No 575/2013;"
,,,(c) the internal audit or another comparable independent auditing unit are adequate and functional for performing their tasks.
,,,"5. In the course of the assessment of paragraph 1(c), competent authorities shall verify in particular that:"
,,,(a) the internal audit or another comparable independent auditing unit provide sufficient information to the senior management and the management body of the institution on the compliance of the rating systems with all applicable requirements for the IRB Approach;
,,,"(b) the internal audit or another comparable independent auditing unit is proportionate to the nature, size and degree of complexity of the institution's business and organizational structure, and in particular to the complexity of the rating systems and their implementation;"
,,,"(c) the internal audit or another comparable independent auditing unit has adequate resources, and experienced and qualified personnel to undertake all relevant activities;"
,,,(d) the internal audit or other comparable independent auditing unit is not involved in any aspect of the operation of the rating systems which it reviews in accordance with paragraph 1(a);
,,,(e) the internal audit or another comparable independent auditing unit is independent from the personnel and management responsible for originating or renewing exposures and report directly to senior management;
,,,(f) the remuneration of the staff and senior management responsible for the internal audit function is not linked to the performance of the tasks relating to originating or renewing exposures.
CHAPTER 4 Assessment methodology of use test and experience test,,,
,,Article 18 General,
,,,"1. In order to assess whether an institution is compliant with the requirements on the use of rating systems, as referred to in Articles 144(1)(b), 145, 171(1)(c), 172(1)(a), 172(1)(b), 172(1)(c), 172(2) and 175(3) of Regulation (EU) No 575/2013, competent authorities shall verify, in particular, that:"
,,,"(a) internal ratings and default and loss estimates of the rating systems used in the calculation of own funds play an essential role in the risk management, credit approval and decision making process in accordance with Article 19;"
,,,(b) internal ratings and default and loss estimates of the rating systems used in the calculation of own funds play an essential role in the process of the internal capital allocation in accordance with Article 20;
,,,(c) internal ratings and default and loss estimates of the rating systems used in the calculation of own funds play an essential role in the corporate governance functions in accordance with Article 21;
,,,"(d) data and estimates used by the institution for the calculation of own funds and those used for internal purposes are consistent, and that, where discrepancies exist, these are fully documented and reasonable;"
,,,"(e) rating systems broadly in line with the requirements set out in Part Three, Title"
,,,"II, Chapter 3, Section 6 of Regulation (EU) No 575/2013 have been applied by the institution at least three years prior to the use of the IRB Approach, as set out in Article 145 of Regulation (EU) No 575/2013, in accordance with Article"
,,,22.
,,,2. For the purpose of paragraph 1 competent authorities shall apply all of the following core methods:
,,,(a) review the institution's relevant internal policies and procedures;
,,,"(b) review the relevant minutes the institution's internal bodies, including the management body, or other committees involved in the credit risk management governance;"
,,,"(c) review the documented allocation of powers to take credit decisions, the credit management manuals and the commercial channels schemes;"
,,,"(d) review the institution's analysis of the credit approvals and the data on rejected credit applications, including the decisions deviating from the standard credit policy ('exceptions'), the instances where human judgement results in deviation from the inputs or outputs of the rating systems ('overrides') and the non-rated exposures including their justifications, the manual decisions and the cut-off points;"
,,,(e) review the institution's credit restructuring policies;
,,,(f) review the documented regular reporting on credit risk;
,,,"(g) review the documentation on calculation of internal capital of the institution and the allocation of the internal capital to types of risk, subsidiaries and portfolios;"
,,,(h) review the relevant findings of the internal audit or of other control functions of the institution;
,,,(i) review the progress reports on the effort of the institution to correct shortfalls and mitigate risks detected during relevant audits;
,,,(j) obtain written statements or interview the relevant staff and senior management of the institution.
,,,"3. For the purpose of paragraph 1, competent authorities may also apply any of the following additional methods:"
,,,(a) review the documentation of early warning systems;
,,,(b) review the credit risk adjustments methodology and the documented analysis of its coherence with the calculation of own funds requirements;
,,,(c) review the documented analysis of the risk-adjusted profitability of the institution;
,,,(d) review the procedures for the collection and recovery of debts;
,,,(e) review the planning manuals and reports on budgeting of the cost of risk;
,,,(f) review the remuneration policy and the minutes of the remuneration committee;
,,,(g) review other relevant documents of the institution.
,,"Article 19 Use test in risk management, decision making and credit approval process",
,,,"1. In assessing whether internal ratings and default and loss estimates of the rating systems used in the calculation of own funds requirements play a substantial role in the institution's risk management, credit approval and decision-making processes as referred to in Article 18(1)(a), competent authorities shall verify in particular that:"
,,,(a) the number of non-rated exposures and outdated ratings is immaterial;
,,,"(b) those internal ratings and default and loss estimates play an important role, in particular, in:"
,,,"(i) making a decision on the approval, rejection, restructuring and renewal of a credit facility;"
,,,"(ii) the lending policies by influencing either the maximum exposure limits, or the mitigation techniques and credit enhancements required or any other aspect of the institutions global credit risk profile;"
,,,(iii) the monitoring process of obligors and exposures;
,,,"2. In the course of the assessment referred to in paragraph 1, and where the institution meets the requirements referred to in that paragraph also by virtue of either of the following practices, competent authorities shall also evaluate whether these internal ratings and default and loss estimates are taken into consideration by the institution for the purposes of, in particular:"
,,,(a) pricing each credit facility or obligor;
,,,(b) the early warning systems used for the credit risk management;
,,,(c) determining and implementing the collection and recovery policies and processes;
,,,"(d) calculating credit risk adjustments, where this is in line with the applicable accounting framework;"
,,,"(e) allocating or delegating competence for the credit approval process by the management board to internal committees, to the senior management and to the staff."
,,Article 20 Use test in the internal capital allocation,
,,,"3. In assessing whether internal ratings and default and loss estimates of the rating systems used in the calculation of own funds requirements play an essential role in the institution's internal capital allocation as referred to in Article 18(1)(b), competent authorities shall evaluate whether these ratings and estimates play an important role, in particular, in:"
,,,"(a) the assessment of the amount of internal capital that the institution considers adequate to cover the nature and level of the risk to which it is or might be exposed, in accordance with Article 73 of Directive 2013/36/EU;"
,,,"(b) the allocation of the internal capital among types of risk, subsidiaries and portfolios."
,,,"4. In the course of the assessment referred to in paragraph 1, where the institution seeks to meet the requirements referred therein also by virtue of budgeting the cost of risk, competent authorities shall also evaluate whether the ratings and estimates are taken into consideration by the institution for the purpose of the budgeting the cost of risk of the institution."
,,Article 21 Use test in corporate governance functions,
,,,"1. In assessing whether internal ratings and default and loss estimates of the rating systems used in the calculation of own funds requirements play an essential role in the institution's corporate governance functions as referred to in Article 18(1)(c), competent authorities shall evaluate whether these ratings and estimates play an important role, in particular, in:"
,,,(a) the institution's internal reporting;
,,,(b) the portfolio credit risk monitoring.
,,,"2. In the course of the assessment referred to in paragraph 1, and where the institution seeks to meet the requirements referred therein also by virtue of either of the following practices, competent authorities shall also evaluate whether these ratings and estimates are taken into consideration by the institution for the purpose of, in particular:"
,,,(a) the internal audit planning;
,,,(b) the design of the remuneration policies.
,,Article 22 Experience test,
,,,"3. In assessing whether the rating systems are broadly in line with the requirements set out in Part Three, Title II, Chapter 3, Section 6 of Regulation (EU) No 575/2013 and have been applied by the institution at least three years prior to the use of the IRB Approach for the purpose of the calculation of the own funds requirements, as referred to in Article 18(1)(e), competent authorities shall verify in particular that:"
,,,(a) those rating systems have been used at least during the three years' period in the internal risk measurement and management processes referred to in Article 19(1) (b);
,,,"(b) adequate documentation of the effective operation of the rating systems for at least the last three years is available, in particular with regard to the respective monitoring, validation and audit reports."
,,,4. Paragraph 1 shall apply also in the case of sequential implementation of the IRB Approach taking into account prior experience in accordance with Article 145(3) of Regulation (EU) No 575/2013.
CHAPTER 5 Assessment methodology for assignment of exposures to grades or pools,,,
,,Article 23 General,
,,,"1. In order to assess the institution's process of assignment of obligors or exposures to grades or pools in accordance with Articles 169, 171, 172 and 173 of Regulation (EU) No 575/2013, competent authorities shall verify, in particular, both of the following:"
,,,"(a) the adequacy of definitions, processes and criteria used by the institution for assigning or reviewing the assignment of exposures to grades or pools, as referred to in Articles 169, 171 and 172 of Regulation (EU) No 575/2013 including the treatment of overrides, in accordance with Article 24;"
,,,"(b) the integrity of the assignment process including the independence of the assignment process, as referred to in Article 173 of Regulation (EU) No"
,,,"575/2013, as well as the reviews of the assignment, in accordance with Article"
,,,25.
,,,"2. For the purposes of paragraph 1, competent authorities shall apply all of the following core methods:"
,,,(a) review the institution's relevant internal policies and procedures;
,,,(b) review the roles and responsibilities of units responsible for origination and renewal of exposures and units responsible for the assignment of exposures to grades or pools;
,,,"(c) review the relevant minutes of the institution's internal bodies, including the management body, or other committees;"
,,,(d) review the institution's internal reports regarding the performance of the assignment process;
,,,(e) review the relevant findings of the internal audit or of other control functions of the institution;
,,,(f) review the progress reports on the effort of the institution to correct shortfalls in the assignment or review process and mitigate risks detected during relevant audits;
,,,(g) obtain written statements or interview the relevant staff and senior management of the institution;
,,,(h) review the criteria used by the personnel responsible for the human judgement in the assignment of exposures to grades or pools.
,,,"3. For the purposes of paragraph 1, competent authorities may also apply any of the following additional methods:"
,,,(a) review the functional documentation of the relevant IT systems;
,,,(b) conduct sample testing and review documents related to the characteristics of an obligor and to the origination and maintenance of the exposures;
,,,(c) perform their own tests on the data of the institution or request the institution to perform tests proposed by the competent authorities;
,,,(d) review other relevant documents of the institution.
,,"Article 24 Assignment definitions, processes and criteria",
,,,"1. In assessing the adequacy of definitions, processes and criteria used by the institution to assign or review the assignment of exposures to grades or pools as referred to in point (a) of Article 1(1), competent authorities shall, in particular, verify that:"
,,,(a) there are adequate procedures and mechanisms in place that ensure a consistent assignment of obligors or facilities to an appropriate rating system;
,,,(b) there are adequate procedures and mechanisms in place to ensure that each exposure held by the institution is assigned to a grade or pool as required by the rating system;
,,,"(c) for exposures to corporates, institutions and central governments and central banks, and for equity exposures where an institution uses the PD/LGD approach set out in Article 155(3) of Regulation (EU) No 575/2013, there are adequate procedures and mechanisms in place to ensure that all exposures to the same obligor are assigned to the same obligor grade, including exposures along different lines of business, departments, geographical locations, legal entities within the group and IT systems, and to ensure the correct application of the exceptions from the assignment to the same obligor grade, laid down in Articles 170(2) and 172(1)(e) of Regulation (EU) No 575/2013;"
,,,"(d) the assignment's definitions and criteria are sufficiently detailed to facilitate a common understanding and consistent assignment by all the responsible personnel in all business lines, departments, geographical locations, legal entities within the group and for all different IT systems used;"
,,,"(e) there are adequate criteria, procedures and mechanisms in place to obtain all relevant information about the obligor and the facilities;"
,,,"(f) all relevant, currently available and most up-to-date information is taken into account, including, in the case of exposures to corporates, institutions and central governments and central banks, and for equity exposures where an institution uses the PD/LGD approach, both financial and non-financial information;"
,,,"(g) where the information is not fully available, the institution has set tolerances for defined metrics and rules to account for missing or not up-to-date information that is required for the rating assignment in an adequate and conservative way, and for financial statements older than 24 months that are required for the rating assignment in an adequate and conservative way;"
,,,"(h) the assignment to grades or pools makes part of the credit approval process, according to the methodology specified in Chapter 4 on use test and experience test;"
,,,"(i) the criteria for assignment to grades or pools are consistent with the institution's lending standards and policies for handling troubled obligors and facilities, according to the methodology specified in Chapters 7 on rating systems design, operational details and documentation and 8 on risk quantification."
,,,"2. In the course of the assessment referred to in paragraph 1, competent authorities shall assess the situations where human judgement is used to override any inputs or outputs of the rating system in accordance with Article 172(3) of Regulation (EU) No 575/2013, and they shall, in particular, verify that:"
,,,(a) there are documented polices specifying possible reasons for and maximum extent of overrides and at what stage of the assignment process the overrides are allowed;
,,,(b) the overrides are sufficiently justified in accordance with the policies referred to in point (a) and whether this justification is documented;
,,,"(c) the institution regularly carries out an analysis of the performance of exposures the rating of which has been overridden, including an analysis of overrides per member of staff applying the overrides, and that the results of this analysis are taken into account in the decision making process at an appropriate management level;"
,,,"(d) the institution collects full information on overrides, including information both before and after the override, monitors on a regular basis the number and justifications for overrides, and analyses the effect of overrides on the model's performance;"
,,,(e) the number and justifications for overrides do not indicate significant weaknesses of the rating model.
,,,"3. In the course of the assessment referred to in paragraph 1, competent authorities shall verify, in particular, that the assignment definitions, processes and criteria achieve all of the following:"
,,,"(a) identify groups of connected clients, as defined in point (39) of Article 4(1) of Regulation (EU) No 575/2013;"
,,,(b) include information on the ratings and defaults of other relevant entities within the group of connected clients in an obligor grade assignment in such a way that the rating grades of each relevant entity in the group reflects the different situation of each relevant entity and its relations with the other relevant entities of the group;
,,,(c) ensure that the cases where the obligors are assigned to a better grade than their parent entities are documented and justified.
,,Article 25 Integrity of assignment process,
,,,"1. In assessing the independence of the assignment process referred to in point (b) of Article 23(1), competent authorities shall verify in particular that:"
,,,(a) the staff and management responsible for the final approval of the assignment or review of the assignment of exposures to grades or pools are not involved in or responsible for the origination or renewal of exposures;
,,,(b) senior managers of units responsible for the final approval of the assignment or review of the assignment of exposures to grades or pools and senior managers of units responsible for the origination or renewal of exposures report to different members of the management body or the relevant designated committee of the institution;
,,,(c) the remuneration of the staff and management responsible for the final approval of the assignment or review of the assignment of exposures to grades or pools does not depend on the performance of the tasks related to the origination or renewal of exposures.
,,,"(d) the same practices as those referred to in points (a), (b) and (c) apply to overrides in the retail exposure class."
,,,"2. In assessing the frequency and adequacy of the assignment process referred to in point (b) of Article 23(1), competent authorities shall, in particular, verify that:"
,,,"(a) adequate and detailed policies specify the frequency of the review, and the criteria for the necessity of more frequent review having regard to the higher risk of obligors or problematic exposures and that those policies are applied consistently over time;"
,,,"(b) the review and necessary adjustments of the assignment are carried out when new material information on the obligor or the exposure becomes available, and within a maximum of twelve months after the approval of the current assignment;"
,,,(c) the institution has defined criteria and processes for assessing the materiality of new information and the subsequent need for reassignment and that these criteria and processes are applied consistently;
,,,(d) in the review of the assignment the most recent information available is used;
,,,"(e) where there are practical impediments that result in situations where the assignment is not reviewed in accordance with the requirements laid down in points (a) to (d), that adequate policies are in place and that measures are taken  to ensure return to compliance with the requirements referred to in points (a) to"
,,,(d);
,,,"(f) senior management is regularly informed about the performance of the process of review of assignment of exposures to grades or pools, in particular with regard to the delays of the review of the assignment referred to in point (e);"
,,,"(g) there are adequate policies to allow for effective obtaining and regular updating of relevant information, and in particular that this is reflected appropriately in the terms of contracts with the obligors."
,,,"3. In the course of the assessment referred to in paragraph 1, competent authorities shall assess the value and number of exposures that have not been reviewed in accordance with points (a) to (d) of paragraph 2, and verify that those exposures are treated in a conservative manner in terms of risk weighted assets calculation. Such assessment shall be carried out separately for each rating system and each risk parameter."
CHAPTER 6 Assessment methodology for definition of default,,,
,,Article 26 General,
,,,1. In order to assess whether the institution effectively identifies all defaults in accordance with Article 178 of Regulation (EU) No 575/2013 competent authorities shall verify in particular all of the following:
,,,"(a) the compliance of an institution with, and the operationalization of, the triggers for identification of default of an obligor, in accordance with Article 27;"
,,,"(b) the robustness and effectiveness of the process used by an institution for the identification of default of an obligor, in accordance with Article 28;"
,,,"(c) the triggers and process used by an institution for the reclassification of a defaulted obligor to a non-defaulted status, in accordance with Article 29."
,,,2. For the purposes of paragraph 1 competent authorities shall apply all of the following core methods:
,,,(a) review the institution's internal policies and procedures with regard to establishing whether a default has occurred ('definition of default') and the treatment of defaulted exposures;
,,,(b) review the roles and responsibilities of the units and management bodies involved in the identification of the default of an obligor and management of defaulted exposures;
,,,"(c) review the relevant minutes of the institution's internal bodies, including the management body, or other committees;"
,,,(d) review the relevant findings of the internal audit or of other control functions of the institution;
,,,(e) review the progress reports on the effort of the institution to correct shortfalls and mitigate risks detected during relevant audits;
,,,(f) obtain written statements or interview the relevant staff and senior management of the institution;
,,,(g) review the criteria used by the personnel responsible for the manual assignment of default to an obligor or exposure and of the return to the non-defaulted status.
,,,"3. For the purposes of paragraph 1, competent authorities may also apply any of the following additional methods:"
,,,(a) review the functional documentation of the IT systems used in the process of identification of default of an obligor;
,,,(b) conduct sample testing and review documents related to the characteristics of an obligor and to the origination and maintenance of the exposures;
,,,(c) perform their own tests on institution's data or request the institution to perform tests proposed by the competent authorities;
,,,(d) review other relevant documents of the institution.
,,Article 27 Trigger events for the default of an obligor,
,,,"1. In assessing the compliance with and operationalization of the triggers for identification of default of an obligor applied by the institution as referred to in Article 26(1)(a), competent authorities shall verify in particular that:"
,,,"(a) there is an adequate policy in place with regard to the counting of days past due, including in particular re-ageing of facilities, granting of extensions, amendments or deferrals, renewals and netting of existing accounts;"
,,,(b) the definition of default applied by the institution includes at least all of the triggers of default as referred to in Articles 178(1) and (3) of Regulation (EU) No 575/2013;
,,,"(c) where an institution uses multiple definitions of default within one or more legal entities, that the scope of application of each definition of default is clearly specified and that the differences between the definitions are justified."
,,,"2. For the purpose of paragraph 1, competent authorities shall assess whether the definition of default is sufficiently implemented and detailed enough to be applied consistently by all members of staff for all types of exposures in order to ensure, in particular whether all of the following potential indicators of unlikeness to pay are sufficiently specified:"
,,,(a) the non-accrued status;
,,,(b) events that constitute specific credit risk adjustments resulting from a significant perceived decline in credit quality;
,,,(c) sales of credit obligations that constitute a material credit-related economic loss;
,,,(d) events that constitute a distressed restructuring;
,,,(e) events that constitute a similar protection as bankruptcy;
,,,(f) other indications of unlikeliness to pay.
,,,3. Competent authorities shall verify that the policies and procedures do not allow classifying the obligor as non-defaulted in situations where any of the default triggers apply.
,,Article 28 Robustness and effectiveness of the process of identification of default of an obligor,
